task,sigma_s,sigma_r,wb,wg,wr,error
a,2,0.2,0.0,0.4,0.6,20054655
a,2,0.2,0.0,0.3,0.7,19708355
a,2,0.2,0.0,0.2,0.8,19226474
a,2,0.2,0.0,0.1,0.9,18690657
a,2,0.2,0.0,0.0,1.0,17637945
a,2,0.2,0.1,0.9,0.0,20703196
a,2,0.2,0.1,0.8,0.1,20750289
a,2,0.2,0.1,0.7,0.2,20795405
a,2,0.2,0.1,0.6,0.3,20739509
a,2,0.2,0.1,0.5,0.4,20676337
a,2,0.2,0.1,0.4,0.5,20545937
a,2,0.2,0.1,0.3,0.6,20353447
a,2,0.2,0.1,0.2,0.7,20027014
a,2,0.2,0.1,0.1,0.8,19671298
a,2,0.2,0.1,0.0,0.9,19193982
a,2,0.2,0.2,0.8,0.0,20448570
a,2,0.2,0.2,0.7,0.1,20597301
a,2,0.2,0.2,0.6,0.2,20702763
a,2,0.2,0.2,0.5,0.3,20754668
a,2,0.2,0.2,0.4,0.4,20725485
a,2,0.2,0.2,0.3,0.5,20673378
a,2,0.2,0.2,0.2,0.6,20420680
a,2,0.2,0.2,0.1,0.7,20196747
a,2,0.2,0.2,0.0,0.8,19865732
a,2,0.2,0.3,0.7,0.0,20036494
a,2,0.2,0.3,0.6,0.1,20248682
a,2,0.2,0.3,0.5,0.2,20394284
a,2,0.2,0.3,0.4,0.3,20529662
a,2,0.2,0.3,0.3,0.4,20588272
a,2,0.2,0.3,0.2,0.5,20605347
a,2,0.2,0.3,0.1,0.6,20401905
a,2,0.2,0.3,0.0,0.7,20272022
a,2,0.2,0.4,0.6,0.0,19258239
a,2,0.2,0.4,0.5,0.1,19650374
a,2,0.2,0.4,0.4,0.2,19837679
a,2,0.2,0.4,0.3,0.3,20074815
a,2,0.2,0.4,0.2,0.4,20214235
a,2,0.2,0.4,0.1,0.5,20273398
a,2,0.2,0.4,0.0,0.6,20240852
a,2,0.2,0.5,0.5,0.0,18467252
a,2,0.2,0.5,0.4,0.1,18819201
a,2,0.2,0.5,0.3,0.2,19183870
a,2,0.2,0.5,0.2,0.3,19522737
a,2,0.2,0.5,0.1,0.4,19654850
a,2,0.2,0.5,0.0,0.5,19663156
a,2,0.2,0.6,0.4,0.0,17622451
a,2,0.2,0.6,0.3,0.1,18008017
a,2,0.2,0.6,0.2,0.2,18347543
a,2,0.2,0.6,0.1,0.3,18736610
a,2,0.2,0.6,0.0,0.4,18978216
a,2,0.2,0.7,0.3,0.0,16444713
a,2,0.2,0.7,0.2,0.1,16946248
a,2,0.2,0.7,0.1,0.2,17287604
a,2,0.2,0.7,0.0,0.3,17761230
a,2,0.2,0.8,0.2,0.0,14936755
a,2,0.2,0.8,0.1,0.1,15583381
a,2,0.2,0.8,0.0,0.2,16209851
a,2,0.2,0.9,0.1,0.0,12995998
a,2,0.2,0.9,0.0,0.1,13838897
a,2,0.2,1.0,0.0,0.0,10006825
a,3,0.05,0.0,1.0,0.0,32687415
a,3,0.05,0.0,0.9,0.1,33281413
a,3,0.05,0.0,0.8,0.2,33265688
a,3,0.05,0.0,0.7,0.3,32348257
a,3,0.05,0.0,0.6,0.4,30622328
a,3,0.05,0.0,0.5,0.5,28294304
a,3,0.05,0.0,0.4,0.6,26126715
a,3,0.05,0.0,0.3,0.7,24058244
a,3,0.05,0.0,0.2,0.8,22217246
a,3,0.05,0.0,0.1,0.9,20360624
a,3,0.05,0.0,0.0,1.0,18393831
a,3,0.05,0.1,0.9,0.0,31612582
a,3,0.05,0.1,0.8,0.1,32815568
a,3,0.05,0.1,0.7,0.2,33265690
a,3,0.05,0.1,0.6,0.3,33040860
a,3,0.05,0.1,0.5,0.4,32348720
a,3,0.05,0.1,0.4,0.5,30451691
a,3,0.05,0.1,0.3,0.6,28529840
a,3,0.05,0.1,0.2,0.7,26526086
a,3,0.05,0.1,0.1,0.8,24820738
a,3,0.05,0.1,0.0,0.9,23150833
a,3,0.05,0.2,0.8,0.0,28851494
a,3,0.05,0.2,0.7,0.1,30520375
a,3,0.05,0.2,0.6,0.2,31614054
a,3,0.05,0.2,0.5,0.3,32113488
a,3,0.05,0.2,0.4,0.4,31813836
a,3,0.05,0.2,0.3,0.5,30928201
a,3,0.05,0.2,0.2,0.6,30001637
a,3,0.05,0.2,0.1,0.7,28930461
a,3,0.05,0.2,0.0,0.8,27562260
a,3,0.05,0.3,0.7,0.0,25546103
a,3,0.05,0.3,0.6,0.1,27349544
a,3,0.05,0.3,0.5,0.2,28434225
a,3,0.05,0.3,0.4,0.3,29272081
a,3,0.05,0.3,0.3,0.4,29647361
a,3,0.05,0.3,0.2,0.5,29782112
a,3,0.05,0.3,0.1,0.6,29656556
a,3,0.05,0.3,0.0,0.7,29509996
a,3,0.05,0.4,0.6,0.0,22230954
a,3,0.05,0.4,0.5,0.1,23981869
a,3,0.05,0.4,0.4,0.2,25218352
a,3,0.05,0.4,0.3,0.3,26259514
a,3,0.05,0.4,0.2,0.4,26610093
a,3,0.05,0.4,0.1,0.5,27313512
a,3,0.05,0.4,0.0,0.6,27955193
a,3,0.05,0.5,0.5,0.0,18689120
a,3,0.05,0.5,0.4,0.1,20461489
a,3,0.05,0.5,0.3,0.2,21741993
a,3,0.05,0.5,0.2,0.3,22501979
a,3,0.05,0.5,0.1,0.4,23433712
a,3,0.05,0.5,0.0,0.5,24373696
a,3,0.05,0.6,0.4,0.0,16237623
a,3,0.05,0.6,0.3,0.1,17433955
a,3,0.05,0.6,0.2,0.2,18259860
a,3,0.05,0.6,0.1,0.3,19295362
a,3,0.05,0.6,0.0,0.4,19995234
a,3,0.05,0.7,0.3,0.0,14174296
a,3,0.05,0.7,0.2,0.1,15214177
a,3,0.05,0.7,0.1,0.2,15729031
a,3,0.05,0.7,0.0,0.3,16199704
a,3,0.05,0.8,0.2,0.0,12333752
a,3,0.05,0.8,0.1,0.1,13377328
a,3,0.05,0.8,0.0,0.2,13688230
a,3,0.05,0.9,0.1,0.0,10338605
a,3,0.05,0.9,0.0,0.1,11457539
a,3,0.05,1.0,0.0,0.0,8098557
a,3,0.1,0.0,1.0,0.0,31301110
a,3,0.1,0.0,0.9,0.1,31580401
a,3,0.1,0.0,0.8,0.2,31582806
a,3,0.1,0.0,0.7,0.3,31291408
a,3,0.1,0.0,0.6,0.4,30765009
a,3,0.1,0.0,0.5,0.5,30087144
a,3,0.1,0.0,0.4,0.6,28955491
a,3,0.1,0.0,0.3,0.7,27608380
a,3,0.1,0.0,0.2,0.8,25865578
a,3,0.1,0.0,0.1,0.9,24173663
a,3,0.1,0.0,0.0,1.0,22555887
a,3,0.1,0.1,0.9,0.0,30850311
a,3,0.1,0.1,0.8,0.1,31185760
a,3,0.1,0.1,0.7,0.2,31328827
a,3,0.1,0.1,0.6,0.3,31344137
a,3,0.1,0.1,0.5,0.4,31167716
a,3,0.1,0.1,0.4,0.5,30682649
a,3,0.1,0.1,0.3,0.6,29847616
a,3,0.1,0.1,0.2,0.7,28645015
a,3,0.1,0.1,0.1,0.8,27311309
a,3,0.1,0.1,0.0,0.9,25892770
a,3,0.1,0.2,0.8,0.0,29922958
a,3,0.1,0.2,0.7,0.1,30547084
a,3,0.1,0.2,0.6,0.2,30800846
a,3,0.1,0.2,0.5,0.3,31027310
a,3,0.1,0.2,0.4,0.4,30973876
a,3,0.1,0.2,0.3,0.5,30680657
a,3,0.1,0.2,0.2,0.6,30185134
a,3,0.1,0.2,0.1,0.7,29440569
a,3,0.1,0.2,0.0,0.8,28334469
a,3,0.1,0.3,0.7,0.0,28363573
a,3,0.1,0.3,0.6,0.1,29104332
a,3,0.1,0.3,0.5,0.2,29699832
a,3,0.1,0.3,0.4,0.3,30109819
a,3,0.1,0.3,0.3,0.4,30138633
a,3,0.1,0.3,0.2,0.5,30118195
a,3,0.1,0.3,0.1,0.6,29817512
a,3,0.1,0.3,0.0,0.7,29347305
a,3,0.1,0.4,0.6,0.0,26282753
a,3,0.1,0.4,0.5,0.1,27193407
a,3,0.1,0.4,0.4,0.2,27962581
a,3,0.1,0.4,0.3,0.3,28663470
a,3,0.1,0.4,0.2,0.4,28828734
a,3,0.1,0.4,0.1,0.5,29018076
a,3,0.1,0.4,0.0,0.6,28875373
a,3,0.1,0.5,0.5,0.0,23999200
a,3,0.1,0.5,0.4,0.1,24899330
a,3,0.1,0.5,0.3,0.2,25779247
a,3,0.1,0.5,0.2,0.3,26528018
a,3,0.1,0.5,0.1,0.4,26930801
a,3,0.1,0.5,0.0,0.5,27304808
a,3,0.1,0.6,0.4,0.0,21640006
a,3,0.1,0.6,0.3,0.1,22821395
a,3,0.1,0.6,0.2,0.2,23770314
a,3,0.1,0.6,0.1,0.3,24371401
a,3,0.1,0.6,0.0,0.4,24834528
a,3,0.1,0.7,0.3,0.0,19494980
a,3,0.1,0.7,0.2,0.1,20569941
a,3,0.1,0.7,0.1,0.2,21389333
a,3,0.1,0.7,0.0,0.3,22179237
a,3,0.1,0.8,0.2,0.0,17039306
a,3,0.1,0.8,0.1,0.1,18182952
a,3,0.1,0.8,0.0,0.2,19064572
a,3,0.1,0.9,0.1,0.0,14262865
a,3,0.1,0.9,0.0,0.1,15595924
a,3,0.1,1.0,0.0,0.0,10769595
a,3,0.2,0.0,1.0,0.0,28408957
a,3,0.2,0.0,0.9,0.1,28491016
a,3,0.2,0.0,0.8,0.2,28483632
a,3,0.2,0.0,0.7,0.3,28392572
a,3,0.2,0.0,0.6,0.4,28215534
a,3,0.2,0.0,0.5,0.5,28058734
a,3,0.2,0.0,0.4,0.6,27731228
a,3,0.2,0.0,0.3,0.7,27316228
a,3,0.2,0.0,0.2,0.8,26706433
a,3,0.2,0.0,0.1,0.9,25908725
a,3,0.2,0.0,0.0,1.0,24491776
a,3,0.2,0.1,0.9,0.0,28189732
a,3,0.2,0.1,0.8,0.1,28322686
a,3,0.2,0.1,0.7,0.2,28374334
a,3,0.2,0.1,0.6,0.3,28294727
a,3,0.2,0.1,0.5,0.4,28231088
a,3,0.2,0.1,0.4,0.5,28074485
a,3,0.2,0.1,0.3,0.6,27882131
a,3,0.2,0.1,0.2,0.7,27506747
a,3,0.2,0.1,0.1,0.8,27028158
a,3,0.2,0.1,0.0,0.9,26339932
a,3,0.2,0.2,0.8,0.0,27794110
a,3,0.2,0.2,0.7,0.1,28104433
a,3,0.2,0.2,0.6,0.2,28195746
a,3,0.2,0.2,0.5,0.3,28283756
a,3,0.2,0.2,0.4,0.4,28340113
a,3,0.2,0.2,0.3,0.5,28187478
a,3,0.2,0.2,0.2,0.6,27973047
a,3,0.2,0.2,0.1,0.7,27674966
a,3,0.2,0.2,0.0,0.8,27342591
a,3,0.2,0.3,0.7,0.0,27184234
a,3,0.2,0.3,0.6,0.1,27499633
a,3,0.2,0.3,0.5,0.2,27748598
a,3,0.2,0.3,0.4,0.3,27957011
a,3,0.2,0.3,0.3,0.4,27993071
a,3,0.2,0.3,0.2,0.5,28023245
a,3,0.2,0.3,0.1,0.6,27939574
a,3,0.2,0.3,0.0,0.7,27720474
a,3,0.2,0.4,0.6,0.0,26271179
a,3,0.2,0.4,0.5,0.1,26738903
a,3,0.2,0.4,0.4,0.2,27056622
a,3,0.2,0.4,0.3,0.3,27386480
a,3,0.2,0.4,0.2,0.4,27475537
a,3,0.2,0.4,0.1,0.5,27662844
a,3,0.2,0.4,0.0,0.6,27588561
a,3,0.2,0.5,0.5,0.0,25201186
a,3,0.2,0.5,0.4,0.1,25591260
a,3,0.2,0.5,0.3,0.2,26073219
a,3,0.2,0.5,0.2,0.3,26383924
a,3,0.2,0.5,0.1,0.4,26679952
a,3,0.2,0.5,0.0,0.5,26854283
