task,sigma_s,sigma_r,wb,wg,wr,error
a,2,0.05,0.9,0.0,0.1,7671846
a,2,0.05,1.0,0.0,0.0,7028068
a,2,0.1,0.0,1.0,0.0,10145262
a,2,0.1,0.0,0.9,0.1,10343709
a,2,0.1,0.0,0.8,0.2,10481633
a,2,0.1,0.0,0.7,0.3,10576061
a,2,0.1,0.0,0.6,0.4,10596748
a,2,0.1,0.0,0.5,0.5,10562458
a,2,0.1,0.0,0.4,0.6,10453871
a,2,0.1,0.0,0.3,0.7,10311907
a,2,0.1,0.0,0.2,0.8,10124569
a,2,0.1,0.0,0.1,0.9,9811312
a,2,0.1,0.0,0.0,1.0,9344503
a,2,0.1,0.1,0.9,0.0,10011052
a,2,0.1,0.1,0.8,0.1,10269445
a,2,0.1,0.1,0.7,0.2,10459368
a,2,0.1,0.1,0.6,0.3,10608265
a,2,0.1,0.1,0.5,0.4,10701671
a,2,0.1,0.1,0.4,0.5,10734313
a,2,0.1,0.1,0.3,0.6,10661097
a,2,0.1,0.1,0.2,0.7,10543109
a,2,0.1,0.1,0.1,0.8,10391468
a,2,0.1,0.1,0.0,0.9,10137104
a,2,0.1,0.2,0.8,0.0,9768300
a,2,0.1,0.2,0.7,0.1,10084092
a,2,0.1,0.2,0.6,0.2,10351754
a,2,0.1,0.2,0.5,0.3,10548847
a,2,0.1,0.2,0.4,0.4,10690407
a,2,0.1,0.2,0.3,0.5,10779722
a,2,0.1,0.2,0.2,0.6,10799650
a,2,0.1,0.2,0.1,0.7,10720726
a,2,0.1,0.2,0.0,0.8,10558206
a,2,0.1,0.3,0.7,0.0,9431147
a,2,0.1,0.3,0.6,0.1,9783183
a,2,0.1,0.3,0.5,0.2,10105686
a,2,0.1,0.3,0.4,0.3,10394095
a,2,0.1,0.3,0.3,0.4,10608329
a,2,0.1,0.3,0.2,0.5,10731470
a,2,0.1,0.3,0.1,0.6,10813022
a,2,0.1,0.3,0.0,0.7,10783623
a,2,0.1,0.4,0.6,0.0,9088508
a,2,0.1,0.4,0.5,0.1,9439281
a,2,0.1,0.4,0.4,0.2,9794617
a,2,0.1,0.4,0.3,0.3,10122922
a,2,0.1,0.4,0.2,0.4,10378259
a,2,0.1,0.4,0.1,0.5,10559821
a,2,0.1,0.4,0.0,0.6,10700504
a,2,0.1,0.5,0.5,0.0,8726320
a,2,0.1,0.5,0.4,0.1,9072746
a,2,0.1,0.5,0.3,0.2,9439614
